Season,Team,Opponent eFG%,Opponent TS%
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
,,#DIV/0!,#DIV/0!
